System_Ref,FIS_Provider_Name,Level_1_Description,Upload_to_FIDy
7273,St Andrew's Church Of England Primary School - After School Club,SEND Local Offer,ECD
7279,Pacca Out Of School Project,Families,FSD
7279,Pacca Out Of School Project,SEND Local Offer,FSD
7280,Sally Kids Care,Families,ECD
7280,Sally Kids Care,SEND Local Offer,ECD
7281,Sally Kids Care,Families,ECD
7281,Sally Kids Care,SEND Local Offer,ECD
7282,Sally Kids Care,Families,FSD
7282,Sally Kids Care,SEND Local Offer,FSD
7286,La Retraite Rc Girls School - After School Club,Families,FSD
7286,La Retraite Rc Girls School - After School Club,SEND Local Offer,FSD
7315,Alifya Education Limited,Families,FSD
7315,Alifya Education Limited,SEND Local Offer,FSD
7327,Saint Gabriel's College - Breakfast Club,Families,ECD
7327,Saint Gabriel's College - Breakfast Club,SEND Local Offer,ECD
7333,South Central Youth Ltd,Families,FSD
7333,South Central Youth Ltd,SEND Local Offer,FSD
7333,South Central Youth Ltd,Young People,FSD
7337,Kings College Hospital School,Families,ECD
7337,Kings College Hospital School,SEND Local Offer,ECD
7351,Women’s Aid (Domestic And Sexual Violence Advice & Counselling Services),Families,FSD
7351,Women’s Aid (Domestic And Sexual Violence Advice & Counselling Services),SEND Local Offer,FSD
7352,Papa's Park And Cafe - Open Access Playground,Families,FSD
7352,Papa's Park And Cafe - Open Access Playground,SEND Local Offer,FSD
7352,Papa's Park And Cafe - Open Access Playground,Young People,FSD
7412,Keen London,Families,FSD
7412,Keen London,SEND Local Offer,FSD
7412,Keen London,Young People,FSD
7421,Care Trade - The School House Cafe,SEND Local Offer,FSD
7427,Oasis Nature Garden,Families,FSD
7427,Oasis Nature Garden,SEND Local Offer,FSD
7433,Coin Street Youth Night,Families,FSD
7433,Coin Street Youth Night,SEND Local Offer,FSD
7433,Coin Street Youth Night,Young People,FSD
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,SEND Local Offer,FSD
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,Young People,FSD
