System_Ref,Name,Provider_Type_Description,First_Line,Second_Line,Third_Line,Locality,Town,Post_Code,Easting,Northing,Upload_to_FIDy
10814,St Helens Catholic School Breakfast Club,Breakfast Club,St Helens Roman Catholic Primary School,Knowle Close,,,London,SW9 0TQ,531142,175926,FSD
7268,St John's (Angell Town) Church Of England P S - Breakfast Club,Breakfast Club,St John's Angell Town Church Of England Primary School,85 Angell Road,,,London,SW9 7HH,531476,176021,FSD
9480,St John The Divine C Of E Primary School - Breakfast Club,Breakfast Club,St John The Divine Primary School,Warham Street,,,London,SE5 0SX,531782,177252,FSD
4499,St Leonard's Church Of England Primary School - Breakfast Club,Breakfast Club,St Leonards Church Of England School,42 Mitcham Lane,,,London,SW16 6NP,529710,171434,ECD
9477,St Mark's Church Of England Primary School - Breakfast Club,Breakfast Club,St Marks Church Of England Primary School,Harleyford Road,,,London,SE11 5SL,530822,177860,FSD
9395,St Saviour's Church Of England Primary School After School Club,After School Club,St Saviours Church Of England Primary School,Herne Hill Road,,,London,SE24 0AY,532228,175575,FSD
6607,St Saviour's School - Breakfast Club,Breakfast Club,St Saviours Church Of England Primary School,Herne Hill Road,,,London,SE24 0AY,532228,175575,ECD
9476,St Stephen's Church Of England Primary School - Breakfast Club,Breakfast Club,St Stephens Church Of England Primary School,Dorset Road,,,London,SW8 1EJ,530488,177314,FSD
4817,St Stephen's Church Of England Primary School - After School Club,After School Club,St Stephens Church Of England Primary School,Dorset Road,,,London,SW8 1EJ,530488,177314,ECD
882,Holmewood Nursery School - After School Club,After School Club,66 Upper Tulse Hill,,,,London,SW2 2RW,530737,173732,ECD
874,The Livity School,Special Schools, Adare Walk,,,,London,SW16 2PW,530546,172442,FSD
7327,Saint Gabriel's College - Breakfast Club,Breakfast Club,St Gabriel's College,Langton Road,,,London,SW9 6UL,531881,176931,ECD
8923,Vauxhall City Farm - New Shoots,Activity,Vauxhall City Farm,165 Tyers Street,,,London,SE11 5HS,530689,178139,FSD
908,Vauxhall City Farm,Organisation,Vauxhall City Farm,165 Tyers Street,,,London,SE11 5HS,530600,178200,FSD
1938,Whippersnappers,Organisation,Lido,Brockwell Park,Dulwich Road,,London,SE24 0PA,531662,174377,FSD
952,Whippersnappers Inclusive After School Club,After School Club,Lido,Brockwell Park,Dulwich Road,,London,SE24 0PA,531662,174377,FSD
9987,Whippersnappers Mixed Baby & Toddler Music Session,Parent and toddler groups,Lido,Brockwell Park,Dulwich Road,,London,SE24 0PA,531662,174377,ECD
9989,Whippersnappers Pre-Crawlers Baby Music Session,Parent and toddler groups,Lido,Brockwell Park,Dulwich Road,,London,SE24 0PA,531662,174377,ECD
7626,Larkhall Autism Outreach Service,Support & Advice,Larkhall Primary School,Smedley Street,,,London,SW4 6PH,530009,176292,FSD
6592,Larkhall Children's Centre - After School Club,After School Club,Larkhall Primary School,Smedley Street,,,London,SW4 6PH,530009,176292,ECD
6591,Larkhall Children's Centre - Breakfast Club,Breakfast Club,Larkhall Primary School,Smedley Street,,,London,SW4 6PH,530009,176292,ECD
7702,Lark Hall Centre For Autism,Resource Base,Larkhall Primary School,Smedley Street,,,London,SW4 6PH,530009,176292,FSD
11296,S.L.A.M.- 24hr Mental Health Crisis Line,Support & Advice,,,,,,,,,FSD
5869,All Sewn Up Training Project,Activity,"Unit 1, The Co-Op Centre",11 Mowll Street,,,London,SW9 6BG,531125,177082,FSD
3711,Lambeth Autism Group (National Autistic Society Lambeth Branch),Organisation,Fourth Floor Front,336 Brixton Road,,,London,SW9 7AA,531151,176041,FSD
7351,Women’s Aid (Domestic And Sexual Violence Advice & Counselling Services),Organisation,Solace Womens Aid Blenheim Court,62 Brewery Road,,Islington,London,N7 9NY,530280,184566,FSD
3755,Lambeth Adoption And Fostering,Organisation,Civic Centre,2 Brixton Hill,,,London,SW2 1RW,530919,175202,FSD
10809,Lambeth Parent Forum,Support & Advice,336 - 338 Brixton Road,,,,London,SW9 7AA,531151,176041,FSD
1404,Minet Library,Library,Lambeth Achives & Minet Library,52 Knatchbull Road,,,London,SE5 9QY,531686,176405,FSD
