System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_3_Description
7717,The Autism Project,FSD,Courses for adults
7717,The Autism Project,FSD,Finding employment
7717,The Autism Project,FSD,Courses for young adults
7717,The Autism Project,FSD,Get support working with a disability
7718,Care Trade Uk,FSD,
7718,Care Trade Uk,FSD,Get support working with a disability
7727,Kids' City At St Leonards,FSD,Breakfast and after school clubs
8832,Play And Learn Cafe,ECD,Parent and toddler groups
8855,YPM ASC At Fenstanton Primary School,FSD,Breakfast and after school clubs
8871,Leap Confronting Conflict,ECD,Services to support around domestic abuse
8871,Leap Confronting Conflict,ECD,Early help
8871,Leap Confronting Conflict,ECD,Mental health and well being
8872,Brixton People's Kitchen,FSD,Healthy eating
8923,Vauxhall City Farm - New Shoots,FSD,
8946,Royal Association Of The Deaf (RAD),ECD,
8949,Health Visiting Service (South East),FSD,Health Visiting Services
8950,Health Visiting Service (South West),FSD,Health Visiting Services
8954,Fridays @ The Old Library,FSD,Youth clubs
8989,Waterloo Community Counselling,FSD,Mental health
8989,Waterloo Community Counselling,FSD,Mental health and well being
8994,Young Minds,FSD,
8994,Young Minds,FSD,Mental health
8994,Young Minds,FSD,Mental health and well being
8995,Time To Change,ECD,Mental health
8995,Time To Change,ECD,Mental health and well being
9023,Children With Complex Needs (Community Nursing Service),FSD,Complex health needs
9024,Continuing Care For Patients With Complex Needs,FSD,Other specialist health needs
9025,School Nursing Service,FSD,General health needs
9288,"Little Bears, St Thomas'",FSD,Parent and toddler groups
9301,Fray Bambino After Care,FSD,Breakfast and after school clubs
9335,The Cochlear Implanted Children's Support Group (CICS Group),FSD,Hearing and visual impairment
9341,Hill Mead Primary School - Resource Base,FSD,Specialist Resource Base
9341,Hill Mead Primary School - Resource Base,FSD,Primary Resource Bases
9393,The Norwood School Breakfast Club,FSD,Breakfast and after school clubs
9395,St Saviour's Church Of England Primary School After School Club,FSD,Breakfast and after school clubs
9470,Tree Tops Breakfast And After School Club At Kings Avenue School London,FSD,Breakfast and after school clubs
9471,Multi-Sports Holiday Camp,FSD,Childcare during the holidays
9476,St Stephen's Church Of England Primary School - Breakfast Club,FSD,Breakfast and after school clubs
9477,St Mark's Church Of England Primary School - Breakfast Club,FSD,Breakfast and after school clubs
9480,St John The Divine C Of E Primary School - Breakfast Club,FSD,Breakfast and after school clubs
9509,Mosiac LGBT Youth Club,FSD,Youth clubs
9509,Mosiac LGBT Youth Club,FSD,Sports
9509,Mosiac LGBT Youth Club,FSD,Creative Arts and Multimedia
9514,Autism Voice,FSD,Parenting support – SEND
9514,Autism Voice,FSD,Parenting support
9538,Parent Champions,FSD,
9538,Parent Champions,FSD,Parent Champions
9568,The Gaia Centre,FSD,Services to support around domestic abuse
9569,Support For Young People At The Gaia Centre,FSD,
9569,Support For Young People At The Gaia Centre,FSD,Services to support around domestic abuse
9741,Julian Cousins Sports,FSD,Sports
9762,Brixton Wings After School & Mid-Term Music Classes,FSD,"Music, dance and drama"
9763,Brixton Wings After School & Mid-Term Rowing Programme,FSD,Sports
9764,Brixton Wings After School,FSD,
9843,Kooth,FSD,
9843,Kooth,FSD,Mental health and well being
9844,Centrepoint,FSD,
9845,Young Carers Hub,FSD,
9845,Young Carers Hub,FSD,Young carers
9846,Cruse Bereavement Care In Lambeth,FSD,
9847,South London And Maudsley - Community Camhs,FSD,Mental health and well being
9848,Safer London - Csa Wellbeing Service,FSD,
9906,Early Bird Parenting Programme Information Session - Virtual Sessions,FSD,Early Years SEND support services
9925,Tree Tops Breakfast Club At Kings Avenue School London,FSD,Breakfast and after school clubs
9934,Navigate: Emotional Support For Parents With Scope,FSD,
9934,Navigate: Emotional Support For Parents With Scope,FSD,Parenting support
9939,Group Pregnancy Care,FSD,
9940,L.E.A.P. Yoga With Claudia,FSD,
9940,L.E.A.P. Yoga With Claudia,FSD,Health and well-being
9943,Breastfeeding Peer Support,FSD,
9943,Breastfeeding Peer Support,FSD,Maternity
9944,Healthy Living Platform,FSD,
9946,Parent And Infant Relationship Service (PAIRS) Together Time,FSD,
